stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1	Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1		iron_aquisition-heme_transport	HasF-family-outer-membrane-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1.hmm	25	102.6	2026-04-21	active
HmuV-HatC-ViuC-Hemin_ABC_transporter_ATPase-rep	HmuV-HatC-ViuC-Hemin_ABC_transporter_ATPase-rep		iron_aquisition-heme_transport	HmuV-family-ATP-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/HmuV-HatC-ViuC-Hemin_ABC_transporter_ATPase-rep.hmm	535	220.0	2026-04-21	active
HutZ-heme_storage-rep	HutZ-heme_storage-rep		iron_aquisition-heme_transport	HutZ-family-substrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/HutZ-heme_storage-rep.hmm	27	227.0	2026-04-21	active
HxuA	HxuA-refseq		iron_aquisition-heme_transport	HxuA-family-heme-utilziation	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/HxuA.hmm	25	653.5	2026-04-21	active
HxuB	HxuB-refseq		iron_aquisition-heme_transport	HxuB-family-heme-utilziation	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/HxuB.hmm	25	487.2	2026-04-21	active
PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN	Cofac_haem_bdg	PF04187.12	iron_aquisition-heme_transport	ChaN-family-substrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN.hmm	211	47.4	2026-04-21	active
PF05031-NEAT	PF05031-NEAT	PF05031.12	iron_aquisition-heme_transport	NEAT-family-subtrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/PF05031-NEAT.hmm	81	33.0	2026-04-21	active
PF06438-Heme_binding_protein_A-HasA_HmuR	HasA	PF06438.7	iron_aquisition-heme_transport	HmuR-family-substrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/PF06438-Heme_binding_protein_A-HasA_HmuR.hmm	7	42.4	2026-04-21	active
PF14064-HmuY_heme_binding	HmuY	PF14064.1	iron_aquisition-heme_transport	HmuY-substrate-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-heme_transport/PF14064-HmuY_heme_binding.hmm	83	31.8	2026-04-21	active
EfeB	EfeB		iron_aquisition-iron_transport	EfeB-family peroxidase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/EfeB.hmm	6	185.4	2026-04-21	active
EfeO-Iron_uptake	EfoO-Iron_uptake		iron_aquisition-iron_transport	EfeO-family-iron-uptake	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/EfeO-Iron_uptake.hmm	771	31.7	2026-04-21	active
FbpA-iron_binding_and_transport-rep	FbpA-iron_binding_and_transport-rep		iron_aquisition-iron_transport	FbpA-family-iron-binding-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FbpA-iron_binding_and_transport-rep.hmm	30	62.0	2026-04-21	active
FbpB-FutB-iron_permease_fam1-rep	FbpB-FutB-iron_permease_fam1-rep		iron_aquisition-iron_transport	FbpB-FutB-family-iron-permease	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FbpB-FutB-iron_permease_fam1-rep.hmm	15	118.0	2026-04-21	active
FbpB-iron_permease_fam2-rep	FbpB-iron_permease_fam2-rep		iron_aquisition-iron_transport	FbpB-family-iron-permease	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FbpB-iron_permease_fam2-rep.hmm	3	88.4	2026-04-21	active
FbpC-iron_uptake_ATPase-rep	FbpC-iron_uptake_ATPase-rep		iron_aquisition-iron_transport	FbpC-family-ATPase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FbpC-iron_uptake_ATPase-rep.hmm	225	300.0	2026-04-21	active
FeoE	FeoE		iron_aquisition-iron_transport	FeoE-family-iron-efflux	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FeoE.hmm	25	20.0	2026-04-21	active
FutA1-iron_ABC_transporter_iron-binding-rep	FutA1-iron_ABC_transporter_iron-binding-rep		iron_aquisition-iron_transport	FutA1-family-iron-binding-proteins	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FutA1-iron_ABC_transporter_iron-binding-rep.hmm	85	112.0	2026-04-21	active
FutA2-iron_ABC_transporter_iron-binding-rep	FutA2-iron_ABC_transporter_iron-binding-rep		iron_aquisition-iron_transport	FutA2-family-iron-binding-proteins	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FutA2-iron_ABC_transporter_iron-binding-rep.hmm	46	115.0	2026-04-21	active
FutC-iron_ABC_transporter_ATPase-rep	FutC-iron_ABC_transporter_ATPase-rep		iron_aquisition-iron_transport	FutC-family-ATPase	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/FutC-iron_ABC_transporter_ATPase-rep.hmm	139	376.0	2026-04-21	active
Iron_uptake_YfeA_Periplasmic_chelated_iron-binding_protein_Q56952_Yersinia_pestis_180610	Iron_uptake_YfeA_Periplasmic_chelated_iron-binding_protein_Q56952_Yersinia_pestis_180610		iron_aquisition-iron_transport	YfeA-family-iron-binding-proteins	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/Iron_uptake_YfeA_Periplasmic_chelated_iron-binding_protein_Q56952_Yersinia_pestis_180610.hmm	25	46.6	2026-04-21	active
Iron_uptake_YfeB_Chelated_iron_transport_system_membrane_protein_Q56953_Yersinia_pestis_180610	Iron_uptake_YfeB_Chelated_iron_transport_system_membrane_protein_Q56953_Yersinia_pestis_180610		iron_aquisition-iron_transport	YfeB-family-membrane-proteins	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/Iron_uptake_YfeB_Chelated_iron_transport_system_membrane_protein_Q56953_Yersinia_pestis_180610.hmm	25	50.9	2026-04-21	active
NF041018	glyceraldDH_alpha	NF041018.1	iron_aquisition-iron_transport	NF041018	interpro	/Users/lgallucc/Desktop/LocalBioinf/iron/others/NF041018.hmm	15	790.0	2026-04-21	active
NF041019	glyceraldDH_beta	NF041019.1	iron_aquisition-iron_transport	NF041019	interpro	/Users/lgallucc/Desktop/LocalBioinf/iron/others/NF041019.hmm	29	350.0	2026-04-21	active
NF041020	glyceraldDH_gamma	NF041020.1	iron_aquisition-iron_transport	NF041020	interpro	/Users/lgallucc/Desktop/LocalBioinf/iron/others/NF041020.hmm	9	290.0	2026-04-21	active
PF02421-FeoB_N	FeoB_N	PF02421.13	iron_aquisition-iron_transport	FeoB-family-iron-transporter	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF02421-FeoB_N.hmm	147	120.4	2026-04-21	active
PF03239-Iron_permease_FTR1_EfeU_Fip1_family	FTR1	PF03239.9	iron_aquisition-iron_transport	EfeU-family-iron-perease	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF03239-Iron_permease_FTR1_EfeU_Fip1_family.hmm	13	24.9	2026-04-21	active
PF04023-FeoA	FeoA	PF04023.9	iron_aquisition-iron_transport	FeoA-family-iron-transporter	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF04023-FeoA.hmm	284	21.0	2026-04-21	active
PF07664-FeoB_C	FeoB_C	PF07664.7	iron_aquisition-iron_transport	FeoB-family-iron-transporter	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF07664-FeoB_C.hmm	217	27.1	2026-04-21	active
PF07670-FeoB_gate_nucleoside_recognition	Gate	PF07670.9	iron_aquisition-iron_transport	FeoB-family-iron-transporter	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF07670-FeoB_gate_nucleoside_recognition.hmm	238	52.0	2026-04-21	active
PF07670_sub-FeoB_gate	FeoB_Gate		iron_aquisition-iron_transport	FeoB-family-iron-transporter	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/PF07670_sub-FeoB_gate.hmm	61	28.0	2026-04-21	active
nramp	nramp		iron_aquisition-iron_transport	Nramp-family-protein	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/nramp.hmm	18	25.0	2026-04-21	active
zip	zip		iron_aquisition-iron_transport	Zip-family-zink-and-iron-uptake	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-iron_transport/zip.hmm	103	25.0	2026-04-21	active
All_seq_Fusarinine	All_seq_Fusarinine		iron_aquisition-siderophore_synthesis	All_seq_Fusarinine	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/All_seq_Fusarinine.hmm	37	2800.7	2026-04-21	active
All_seq_putSID2	All_seq_putSID2		iron_aquisition-siderophore_synthesis	All_seq_putSID2	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/All_seq_putSID2.hmm	15	6429.4	2026-04-21	active
